accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13604;de dreef;;136604;459249;schooneggendreef 27;3562gg;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;1;0;korfbal
13604;de dreef;;136604;459249;schooneggendreef 27;3562gg;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;1;0;zaalsport
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;korfbal
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13605;Gymzaal Lingestraat;1982;136486;453757;Lingestraat 2B;3522tm;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13819;gymzaal fockema andrealaan 9;;137804;454945;burgemeester fockema andreaelaan 9;3582ka;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13820;Prinses Margrietschool;;134750;458149;Prinses Margrietstraat 20;3554ge;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalvoetbal
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
