accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13841;Gymzaal Marco Pololaan;1965;135335;453050;Marco Pololaan 523;3526gh;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalvoetbal
13843;De Pionier;1961;135216;454605;Grebbeberglaan 15;3527vx;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13843;De Pionier;1961;135216;454605;Grebbeberglaan 15;3527vx;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13843;De Pionier;1961;135216;454605;Grebbeberglaan 15;3527vx;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13843;De Pionier;1961;135216;454605;Grebbeberglaan 15;3527vx;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13843;De Pionier;1961;135216;454605;Grebbeberglaan 15;3527vx;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13844;het zand;2005;131689;456385;pauwoogvlinder 18;3544db;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;1;0;basketbal
13844;het zand;2005;131689;456385;pauwoogvlinder 18;3544db;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;1;0;zaalsport
14044;smith & jones;;136484;455791;mariaplaats 13;3511lj;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;0;biljart
14045;het hart van utrecht;1900;136648;456042;ganzenmarkt 16b;3512gd;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;0;biljart
14046;le pacha;1904;136307;456717;bemuurde weerd o.z. 39;3514ar;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;0;biljart
14047;shouf shouf;1951;134285;456418;thomas à kempisplantsoen 7;3532ag;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;0;biljart
14048;ozebi;;137167;456406;biltstraat 4;3572ba;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;0;biljart
14625;onbekend;;130458;458789;marga klomp├®singel;-;utrecht;utrecht;utrecht;1;0;1;0;0;0;0;0;0;0;zwemmen in open water
14626;onbekend;;138920;457289;biltse rading en n225;-;utrecht;utrecht;utrecht;1;0;1;0;0;0;0;0;0;0;zwemmen in open water
